"Player","Minutes","Apps","Starts","Subbed_On","Subbed.off","Goals","Yellows","Second_Yellows","Reds","Club","Season"
"Luis Suarez",1102,13,12,1,3,4,2,0,0,"liverpool-fc",2010
"Christian Poulsen",741,12,9,3,5,0,1,0,0,"liverpool-fc",2010
"Martin Kelly",860,11,10,1,1,0,1,0,0,"liverpool-fc",2010
"Jay Spearing",797,11,10,1,2,0,0,0,0,"liverpool-fc",2010
"Milan Jovanovic",460,10,5,5,3,0,1,0,0,"liverpool-fc",2010
"Ryan Babel",194,9,1,8,0,1,0,0,0,"liverpool-fc",2010
"Andy Carroll",446,7,5,2,4,2,1,0,0,"liverpool-fc",2010
"Jon Flanagan",621,7,7,0,1,0,3,0,0,"liverpool-fc",2010
"Jack Robinson",147,2,1,1,1,0,1,0,0,"liverpool-fc",2010
"Danny Wilson",155,2,1,1,0,0,1,0,0,"liverpool-fc",2010
"Dani Pacheco",4,1,0,1,0,0,0,0,0,"liverpool-fc",2010
"Nathan Eccleston",10,1,0,1,0,0,0,0,0,"liverpool-fc",2010
"Javier Mascherano",79,1,1,0,1,0,0,0,0,"liverpool-fc",2010
"Conor Coady",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Diego Cavalieri",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Peter Gulacsi",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Martin Hansen",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Brad Jones",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Andre Wisdom",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Dean Bouzanis",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Tom Ince",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Steven Irwin",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Raheem Sterling",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Conor Thomas",0,0,0,0,0,0,0,0,0,"liverpool-fc",2010
"Pepe Reina",3420,38,38,0,0,0,2,0,0,"liverpool-fc",2009
"Jamie Carragher",3254,37,37,0,2,0,7,0,1,"liverpool-fc",2009
"Dirk Kuyt",3012,37,35,2,13,9,3,0,0,"liverpool-fc",2009
"Lucas Leiva",2845,35,32,3,7,0,9,0,0,"liverpool-fc",2009
"Javier Mascherano",2755,34,31,3,2,0,9,1,1,"liverpool-fc",2009
"Steven Gerrard",2851,33,32,1,6,9,6,0,0,"liverpool-fc",2009
"Emiliano Insua",2723,31,30,1,2,0,1,0,0,"liverpool-fc",2009
"Yossi Benayoun",1851,30,19,11,16,6,1,0,0,"liverpool-fc",2009
"Ryan Babel",956,25,9,16,6,4,1,0,0,"liverpool-fc",2009
"Glen Johnson",2141,25,24,1,4,3,1,0,0,"liverpool-fc",2009
"David N Gog",1012,24,10,14,7,5,1,0,0,"liverpool-fc",2009
"Daniel Agger",1978,23,23,0,2,0,0,0,0,"liverpool-fc",2009
"Fernando Torres",1714,22,20,2,10,18,5,0,0,"liverpool-fc",2009
"Martin Skrtel",1410,19,16,3,2,1,5,0,0,"liverpool-fc",2009
"Alberto Aquilani",816,18,9,9,7,1,0,0,0,"liverpool-fc",2009
"Maximiliano Rodriguez",1207,17,14,3,4,1,1,0,0,"liverpool-fc",2009
"Fabio Aurelio",653,14,8,6,4,0,1,0,0,"liverpool-fc",2009
"Sotirios Kyrgiakos",1193,14,13,1,0,1,1,0,1,"liverpool-fc",2009
"Albert Riera",649,12,9,3,7,0,0,0,0,"liverpool-fc",2009
"Andriy Voronin",201,8,1,7,0,0,0,0,0,"liverpool-fc",2009
"Philipp Degen",328,7,3,4,2,0,1,0,1,"liverpool-fc",2009
"Daniel Ayala",234,5,2,3,0,0,0,0,0,"liverpool-fc",2009
"Dani Pacheco",42,4,0,4,0,0,0,0,0,"liverpool-fc",2009
"Nabil El Zhar",89,3,1,2,1,0,0,0,0,"liverpool-fc",2009
"Jay Spearing",77,3,1,2,1,0,0,0,0,"liverpool-fc",2009
"Andrea Dossena",54,2,1,1,1,0,0,0,0,"liverpool-fc",2009
"Stephen Darby",1,1,0,1,0,0,0,0,0,"liverpool-fc",2009
"Nathan Eccleston",12,1,0,1,0,0,0,0,0,"liverpool-fc",2009
"Martin Kelly",20,1,0,1,0,0,0,0,0,"liverpool-fc",2009
"Jack Robinson",3,1,0,1,0,0,0,0,0,"liverpool-fc",2009
"Diego Cavalieri",0,0,0,0,0,0,0,0,0,"liverpool-fc",2009
"Peter Gulacsi",0,0,0,0,0,0,0,0,0,"liverpool-fc",2009
"Damien Plessis",0,0,0,0,0,0,0,0,0,"liverpool-fc",2009
"David Martin",0,0,0,0,0,0,0,0,0,"liverpool-fc",2009
"Jamie Carragher",3401,38,38,0,1,0,4,0,0,"liverpool-fc",2008
"Dirk Kuyt",3179,38,36,2,11,12,0,0,0,"liverpool-fc",2008
"Pepe Reina",3420,38,38,0,0,0,0,0,0,"liverpool-fc",2008
"Xabi Alonso",2561,33,27,6,4,4,5,0,0,"liverpool-fc",2008
"Yossi Benayoun",1888,32,21,11,12,8,0,0,0,"liverpool-fc",2008
"Steven Gerrard",2628,31,30,1,11,16,5,0,0,"liverpool-fc",2008
"Arbeloa",2579,29,29,0,3,1,9,0,0,"liverpool-fc",2008
"Albert Riera",1900,28,24,4,20,3,0,0,0,"liverpool-fc",2008
"Ryan Babel",833,27,6,21,3,3,2,0,0,"liverpool-fc",2008
"Javier Mascherano",2311,27,27,0,10,0,6,0,0,"liverpool-fc",2008
"Lucas Leiva",1284,25,13,12,1,1,2,0,0,"liverpool-fc",2008
"Fabio Aurelio",1735,24,19,5,2,2,1,0,0,"liverpool-fc",2008
"Fernando Torres",1731,24,20,4,9,14,1,0,0,"liverpool-fc",2008
"Martin Skrtel",1811,21,20,1,0,0,4,0,0,"liverpool-fc",2008
"Robbie Keane",1261,19,16,3,12,5,2,0,0,"liverpool-fc",2008
"Daniel Agger",1367,18,15,3,0,1,2,0,0,"liverpool-fc",2008
"Andrea Dossena",1042,16,12,4,5,1,2,0,0,"liverpool-fc",2008
"Sami Hyypia",1091,16,12,4,0,1,1,0,0,"liverpool-fc",2008
"Nabil El Zhar",237,15,1,14,1,0,3,0,0,"liverpool-fc",2008
"David N Gog",313,14,2,12,2,2,1,0,0,"liverpool-fc",2008
"Emiliano Insua",846,10,9,1,0,0,0,0,0,"liverpool-fc",2008
"Jermaine Pennant",157,3,2,1,1,0,0,0,0,"liverpool-fc",2008
"Damien Plessis",46,1,1,0,1,0,0,0,0,"liverpool-fc",2008
"Stephen Darby",0,0,0,0,0,0,0,0,0,"liverpool-fc",2008
"Philipp Degen",0,0,0,0,0,0,0,0,0,"liverpool-fc",2008
"Diego Cavalieri",0,0,0,0,0,0,0,0,0,"liverpool-fc",2008
"Charles Itandje",0,0,0,0,0,0,0,0,0,"liverpool-fc",2008
"David Martin",0,0,0,0,0,0,0,0,0,"liverpool-fc",2008
"Krisztian Nemeth",0,0,0,0,0,0,0,0,0,"liverpool-fc",2008
"Jay Spearing",0,0,0,0,0,0,0,0,0,"liverpool-fc",2008
"Pepe Reina",3420,38,38,0,0,0,2,0,0,"liverpool-fc",2007
"Jamie Carragher",3043,35,34,1,3,0,4,0,0,"liverpool-fc",2007
"Steven Gerrard",2843,34,32,2,7,11,3,0,0,"liverpool-fc",2007
"Fernando Torres",2542,33,29,4,13,24,5,0,0,"liverpool-fc",2007
"Dirk Kuyt",2165,32,24,8,8,3,2,0,0,"liverpool-fc",2007
"Ryan Babel",1416,30,15,15,14,4,1,0,0,"liverpool-fc",2007
"Yossi Benayoun",1576,30,15,15,7,4,0,0,0,"liverpool-fc",2007
"John Arne Riise",1986,29,22,7,4,0,3,0,0,"liverpool-fc",2007
"Arbeloa",2273,28,26,2,3,0,4,0,0,"liverpool-fc",2007
"Sami Hyypia",2026,27,24,3,3,1,1,0,0,"liverpool-fc",2007
"Javier Mascherano",2158,25,25,0,4,1,5,1,0,"liverpool-fc",2007
"Steve Finnan",1957,24,21,3,0,0,2,0,0,"liverpool-fc",2007
"Peter Crouch",922,21,9,12,3,5,0,0,0,"liverpool-fc",2007
"Andriy Voronin",1119,19,13,6,8,5,2,0,0,"liverpool-fc",2007
"Xabi Alonso",1468,19,16,3,3,2,3,0,0,"liverpool-fc",2007
"Lucas Leiva",1106,18,12,6,2,0,0,0,0,"liverpool-fc",2007
"Jermaine Pennant",1135,18,14,4,10,2,3,0,0,"liverpool-fc",2007
"Fabio Aurelio",1124,16,13,3,2,1,1,0,0,"liverpool-fc",2007
"Martin Skrtel",1191,14,13,1,0,0,1,0,0,"liverpool-fc",2007
"Harry Kewell",606,10,8,2,8,0,0,0,0,"liverpool-fc",2007
"Mohamed Sissoko",553,9,6,3,1,1,2,0,0,"liverpool-fc",2007
"Daniel Agger",434,5,4,1,0,0,0,0,0,"liverpool-fc",2007
"Emiliano Insua",206,3,2,1,0,0,1,0,0,"liverpool-fc",2007
"Jack Hobbs",129,2,1,1,0,0,0,0,0,"liverpool-fc",2007
"Damien Plessis",180,2,2,0,0,0,0,0,0,"liverpool-fc",2007
"Stephen Darby",0,0,0,0,0,0,0,0,0,"liverpool-fc",2007
"Nabil El Zhar",0,0,0,0,0,0,0,0,0,"liverpool-fc",2007
"Adam Hammill",0,0,0,0,0,0,0,0,0,"liverpool-fc",2007
"Charles Itandje",0,0,0,0,0,0,0,0,0,"liverpool-fc",2007
"Sebastian Leto",0,0,0,0,0,0,0,0,0,"liverpool-fc",2007
"Craig Lindfield",0,0,0,0,0,0,0,0,0,"liverpool-fc",2007
"David Martin",0,0,0,0,0,0,0,0,0,"liverpool-fc",2007
"Krisztian Nemeth",0,0,0,0,0,0,0,0,0,"liverpool-fc",2007
"Kasper Schmeichel",3330,37,37,0,0,0,1,0,0,"leicester-city",2021
"James Maddison",2468,35,28,7,14,12,3,0,0,"leicester-city",2021
"Harvey Barnes",2106,32,24,8,11,6,2,0,0,"leicester-city",2021
"Youri Tielemans",2633,32,29,3,5,6,3,0,0,"leicester-city",2021
"Daniel Amartey",2119,28,23,5,1,0,4,0,0,"leicester-city",2021
"Kiernan Dewsbury-Hall",2105,28,23,5,4,1,4,0,0,"leicester-city",2021
"Caglar Soyuncu",2498,28,28,0,1,1,5,0,0,"leicester-city",2021
"Timothy Castagne",2126,27,22,5,2,1,1,0,0,"leicester-city",2021
"Kelechi Iheanacho",1260,26,13,13,9,4,1,0,0,"leicester-city",2021
"Ademola Lookman",1459,26,16,10,13,6,2,0,0,"leicester-city",2021
"Jamie Vardy",1806,25,20,5,5,15,2,0,0,"leicester-city",2021
"Patson Daka",1160,23,13,10,11,5,2,0,0,"leicester-city",2021
"Luke Thomas",1912,22,21,1,1,0,2,0,0,"leicester-city",2021
"Wilfred Ndidi",1619,19,18,1,2,0,4,0,0,"leicester-city",2021
"Boubakary Soumare",1101,19,12,7,6,0,0,0,0,"leicester-city",2021
"Jonny Evans",1350,18,16,2,4,1,3,0,0,"leicester-city",2021
"Marc Albrighton",1127,17,11,6,0,1,3,0,0,"leicester-city",2021
"Ayoze Perez",444,14,6,8,5,2,0,0,1,"leicester-city",2021
"Nampalys Mendy",1035,14,12,2,5,0,3,0,0,"leicester-city",2021
"Ricardo Pereira",994,14,13,1,4,1,3,0,0,"leicester-city",2021
"James Justin",997,13,11,2,1,0,0,0,0,"leicester-city",2021
"Jannik Vestergaard",564,10,6,4,1,0,2,0,0,"leicester-city",2021
"Wesley Fofana",630,7,7,0,0,0,2,0,0,"leicester-city",2021
"Hamza Choudhury",287,6,4,2,3,0,1,0,0,"leicester-city",2021
"Ryan Bertrand",338,4,4,0,1,0,1,0,0,"leicester-city",2021
"Lewis Brunt",23,1,0,1,0,0,0,0,0,"leicester-city",2021
"Kasey McAteer",2,1,0,1,0,0,0,0,0,"leicester-city",2021
"Danny Ward",90,1,1,0,0,0,0,0,0,"leicester-city",2021
"Vontae Campbell",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Eldin Jakupovic",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Ben Nelson",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Dennis Praet",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Will Alves",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Sammy Braybrooke",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Oliver Ewing",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Wanya Marcal-Madivadua",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Chituru Odunze",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Thanawat Suengchitthawon",0,0,0,0,0,0,0,0,0,"leicester-city",2021
"Timothy Castagne",3256,37,36,1,3,2,3,0,0,"leicester-city",2022
"Jamie Vardy",1853,37,19,18,13,3,1,0,0,"leicester-city",2022
"Harvey Barnes",2720,34,32,2,11,13,3,0,0,"leicester-city",2022
"Kiernan Dewsbury-Hall",2317,31,28,3,11,2,3,1,0,"leicester-city",2022
"Wout Faes",2787,31,31,0,0,1,4,1,0,"leicester-city",2022
"Youri Tielemans",2350,31,27,4,11,3,4,0,0,"leicester-city",2022
"Patson Daka",1180,30,13,17,11,4,2,0,0,"leicester-city",2022
"James Maddison",2484,30,28,2,7,10,10,0,0,"leicester-city",2022
"Kelechi Iheanacho",1122,28,11,17,10,5,0,0,0,"leicester-city",2022
"Wilfred Ndidi",1683,27,19,8,11,0,4,0,0,"leicester-city",2022
"Boubakary Soumare",1634,26,20,6,11,0,9,0,0,"leicester-city",2022
"Danny Ward",2340,26,26,0,0,0,0,0,0,"leicester-city",2022
"Dennis Praet",641,22,6,16,6,1,1,0,0,"leicester-city",2022
"Daniel Amartey",1610,20,18,2,2,0,1,0,0,"leicester-city",2022
"Nampalys Mendy",751,19,7,12,5,1,1,0,0,"leicester-city",2022
"Luke Thomas",1071,17,11,6,3,0,3,0,0,"leicester-city",2022
"James Justin",1254,14,14,0,2,0,0,0,0,"leicester-city",2022
"Jonny Evans",1053,13,12,1,2,0,1,0,0,"leicester-city",2022
"Tete",740,13,9,4,9,1,0,0,0,"leicester-city",2022
"Daniel Iversen",1080,12,12,0,0,0,0,0,0,"leicester-city",2022
"Victor Kristiansen",895,12,11,1,4,0,2,0,0,"leicester-city",2022
"Harry Souttar",991,12,11,1,0,0,2,0,0,"leicester-city",2022
"Ricardo Pereira",453,10,5,5,2,1,2,0,0,"leicester-city",2022
"Ayoze Perez",379,8,3,5,2,0,0,0,0,"leicester-city",2022
"Caglar Soyuncu",529,7,6,1,1,1,2,0,0,"leicester-city",2022
"Marc Albrighton",233,6,1,5,1,1,0,0,0,"leicester-city",2022
"Wesley Fofana",180,2,2,0,0,0,1,0,0,"leicester-city",2022
"Lewis Brunt",22,1,0,1,0,0,0,0,0,"leicester-city",2022
"Sammy Braybrooke",0,0,0,0,0,0,0,0,0,"leicester-city",2022
"Wanya Marcal-Madivadua",0,0,0,0,0,0,0,0,0,"leicester-city",2022
"Kasey McAteer",0,0,0,0,0,0,0,0,0,"leicester-city",2022
"Alex Smithies",0,0,0,0,0,0,0,0,0,"leicester-city",2022
"Jannik Vestergaard",0,0,0,0,0,0,0,0,0,"leicester-city",2022
"Joe Wormleighton",0,0,0,0,0,0,0,0,0,"leicester-city",2022
"Will Alves",0,0,0,0,0,0,0,0,0,"leicester-city",2022
"Ryan Bertrand",0,0,0,0,0,0,0,0,0,"leicester-city",2022
"Kasper Schmeichel",3420,38,38,0,0,0,0,0,0,"leicester-city",2020
"Youri Tielemans",3358,38,37,1,2,6,6,0,0,"leicester-city",2020
"Jamie Vardy",2844,34,31,3,7,15,1,0,0,"leicester-city",2020
"Marc Albrighton",1744,31,17,14,8,1,2,0,0,"leicester-city",2020
"James Maddison",2104,31,24,7,13,8,4,0,0,"leicester-city",2020
"Jonny Evans",2476,28,28,0,3,2,7,0,0,"leicester-city",2020
"Wesley Fofana",2265,28,27,1,5,0,7,0,0,"leicester-city",2020
"Timothy Castagne",2347,27,27,0,2,2,1,0,0,"leicester-city",2020
"Wilfred Ndidi",2179,26,25,1,4,1,6,0,0,"leicester-city",2020
"Ayoze Perez",1331,25,15,10,10,2,2,0,0,"leicester-city",2020
"Harvey Barnes",1949,25,22,3,7,9,0,0,0,"leicester-city",2020
"Kelechi Iheanacho",1456,25,16,9,6,12,1,0,0,"leicester-city",2020
"James Justin",2070,23,23,0,0,2,4,0,0,"leicester-city",2020
"Nampalys Mendy",1458,23,15,8,6,0,5,0,0,"leicester-city",2020
"Caglar Soyuncu",1816,23,19,4,0,1,2,0,0,"leicester-city",2020
"Dennis Praet",723,15,10,5,10,1,0,0,0,"leicester-city",2020
"Ricardo Pereira",957,15,10,5,3,0,3,0,0,"leicester-city",2020
"Luke Thomas",973,14,12,2,5,1,2,0,0,"leicester-city",2020
"Daniel Amartey",720,12,8,4,2,1,3,0,0,"leicester-city",2020
"Hamza Choudhury",314,10,4,6,3,0,1,0,0,"leicester-city",2020
"Christian Fuchs",702,9,8,1,1,0,4,0,0,"leicester-city",2020
"Cengiz Under",275,9,1,8,1,0,0,0,0,"leicester-city",2020
"Wes Morgan",16,3,0,3,0,0,0,0,0,"leicester-city",2020
"Sidnei Tavares",85,2,1,1,1,0,0,0,0,"leicester-city",2020
"Demarai Gray",18,1,0,1,0,0,0,0,0,"leicester-city",2020
"Khanya Leshabela",9,1,0,1,0,0,0,0,0,"leicester-city",2020
"Islam Slimani",19,1,0,1,0,0,0,0,0,"leicester-city",2020
"Vontae Campbell",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Shane Flynn",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Tawanda Maswanhise",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Thanawat Suengchitthawon",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Danny Ward",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Ethan Fitzhugh",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Eldin Jakupovic",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Ben Nelson",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Jakub Stolarczyk",0,0,0,0,0,0,0,0,0,"leicester-city",2020
"Jonny Evans",3386,38,38,0,2,1,7,0,1,"leicester-city",2019
"Kasper Schmeichel",3420,38,38,0,0,0,2,0,0,"leicester-city",2019
"Youri Tielemans",2834,37,32,5,11,3,2,0,0,"leicester-city",2019
"Harvey Barnes",2092,36,24,12,20,6,0,0,0,"leicester-city",2019
"Jamie Vardy",3034,35,34,1,2,23,3,0,0,"leicester-city",2019
"Caglar Soyuncu",3037,34,34,0,0,1,4,0,1,"leicester-city",2019
"Ayoze Perez",2020,33,26,7,22,8,0,0,0,"leicester-city",2019
"Wilfred Ndidi",2674,32,29,3,3,2,6,0,0,"leicester-city",2019
"James Maddison",2628,31,29,2,6,6,4,0,0,"leicester-city",2019
"Ricardo Pereira",2520,28,28,0,0,3,1,0,0,"leicester-city",2019
"Ben Chilwell",2376,27,27,0,2,3,3,0,0,"leicester-city",2019
"Dennis Praet",1134,27,12,15,12,1,2,0,0,"leicester-city",2019
"Demarai Gray",608,21,3,18,3,2,1,0,0,"leicester-city",2019
"Marc Albrighton",864,20,9,11,7,0,2,0,0,"leicester-city",2019
"Hamza Choudhury",889,20,10,10,5,1,2,1,0,"leicester-city",2019
"Kelechi Iheanacho",963,20,12,8,10,5,1,0,0,"leicester-city",2019
"James Justin",1010,13,11,2,0,0,1,0,0,"leicester-city",2019
"Christian Fuchs",769,11,8,3,1,0,0,0,0,"leicester-city",2019
"Wes Morgan",430,11,4,7,0,0,0,0,0,"leicester-city",2019
"Nampalys Mendy",291,7,4,3,3,0,0,0,0,"leicester-city",2019
"Ryan Bennett",331,5,3,2,2,0,0,0,0,"leicester-city",2019
"Luke Thomas",268,3,3,0,1,0,0,0,0,"leicester-city",2019
"George Hirst",9,2,0,2,0,0,0,0,0,"leicester-city",2019
"Matty James",5,1,0,1,0,0,0,0,0,"leicester-city",2019
"Filip Benkovic",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Darnell Johnson",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Danny Ward",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Adrien Silva",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Daniel Amartey",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Fousseni Diabate",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Eldin Jakupovic",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Bartosz Kapustka",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Islam Slimani",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"George Thomas",0,0,0,0,0,0,0,0,0,"leicester-city",2019
"Wilfred Ndidi",3299,38,37,1,4,2,8,0,0,"leicester-city",2018
"Kasper Schmeichel",3420,38,38,0,0,0,3,0,0,"leicester-city",2018
"Ben Chilwell",3240,36,36,0,0,0,4,0,0,"leicester-city",2018
"James Maddison",2849,36,35,1,19,7,3,1,0,"leicester-city",2018
"Ricardo Pereira",3125,35,35,0,2,2,7,0,0,"leicester-city",2018
"Demarai Gray",1996,34,23,11,18,4,2,0,0,"leicester-city",2018
"Jamie Vardy",2731,34,30,4,12,18,3,0,1,"leicester-city",2018
"Harry Maguire",2599,31,31,0,2,3,6,0,1,"leicester-city",2018
"Nampalys Mendy",2089,31,23,8,4,0,5,0,0,"leicester-city",2018
"Kelechi Iheanacho",930,30,9,21,6,1,2,0,0,"leicester-city",2018
"Marc Albrighton",1627,27,18,9,10,2,3,0,0,"leicester-city",2018
"Jonny Evans",1994,24,21,3,2,1,2,0,0,"leicester-city",2018
"Wes Morgan",1926,22,21,1,0,3,1,2,0,"leicester-city",2018
"Shinji Okazaki",270,21,1,20,1,0,0,0,0,"leicester-city",2018
"Rachid Ghezzal",739,19,8,11,6,1,3,0,0,"leicester-city",2018
"Harvey Barnes",1009,16,11,5,8,1,0,0,0,"leicester-city",2018
"Youri Tielemans",1091,13,13,0,6,3,2,0,0,"leicester-city",2018
"Daniel Amartey",640,9,7,2,1,0,2,0,0,"leicester-city",2018
"Hamza Choudhury",596,9,7,2,3,0,0,0,0,"leicester-city",2018
"Vicente Iborra",226,8,3,5,2,0,0,0,0,"leicester-city",2018
"Danny Simpson",291,6,3,3,2,0,0,0,0,"leicester-city",2018
"Caglar Soyuncu",372,6,4,2,1,0,1,0,0,"leicester-city",2018
"Christian Fuchs",206,3,2,1,0,0,0,0,0,"leicester-city",2018
"Adrien Silva",88,2,1,1,1,0,0,0,0,"leicester-city",2018
"Fousseni Diabate",55,1,1,0,1,0,0,0,0,"leicester-city",2018
"Josh Knight",0,0,0,0,0,0,0,0,0,"leicester-city",2018
"Danny Ward",0,0,0,0,0,0,0,0,0,"leicester-city",2018
"Eldin Jakupovic",0,0,0,0,0,0,0,0,0,"leicester-city",2018
"Matty James",0,0,0,0,0,0,0,0,0,"leicester-city",2018
"Khanya Leshabela",0,0,0,0,0,0,0,0,0,"leicester-city",2018
"Harry Maguire",3420,38,38,0,0,2,7,0,0,"leicester-city",2017
"Jamie Vardy",3255,37,37,0,11,20,3,0,0,"leicester-city",2017
"Riyad Mahrez",2960,36,34,2,12,12,2,0,0,"leicester-city",2017
"Demarai Gray",1690,35,17,18,11,3,2,0,0,"leicester-city",2017
"Marc Albrighton",2544,34,30,4,10,2,5,0,1,"leicester-city",2017
"Wilfred Ndidi",2899,33,33,0,1,0,6,2,0,"leicester-city",2017
"Kasper Schmeichel",2966,33,33,0,1,0,3,0,0,"leicester-city",2017
"Wes Morgan",2818,32,32,0,1,0,4,0,0,"leicester-city",2017
"Danny Simpson",2313,28,27,1,7,0,4,0,0,"leicester-city",2017
"Shinji Okazaki",1329,27,17,10,15,6,2,0,0,"leicester-city",2017
"Christian Fuchs",1918,25,21,4,1,0,1,0,0,"leicester-city",2017
"Ben Chilwell",1852,24,20,4,3,0,1,1,0,"leicester-city",2017
"Kelechi Iheanacho",825,21,7,14,7,3,2,0,0,"leicester-city",2017
"Vicente Iborra",1416,19,17,2,7,3,0,0,0,"leicester-city",2017
"Fousseni Diabate",583,14,5,9,4,0,1,0,0,"leicester-city",2017
"Matty James",994,13,11,2,4,0,2,0,0,"leicester-city",2017
"Adrien Silva",762,12,9,3,4,0,3,0,0,"leicester-city",2017
"Islam Slimani",241,12,2,10,1,1,0,0,0,"leicester-city",2017
"Aleksandar Dragovic",767,11,7,4,1,0,2,0,0,"leicester-city",2017
"Andy King",535,11,5,6,2,1,1,0,0,"leicester-city",2017
"Daniel Amartey",488,8,6,2,2,0,0,1,0,"leicester-city",2017
"Hamza Choudhury",377,8,4,4,2,0,1,0,0,"leicester-city",2017
"Ben Hamer",274,4,3,1,0,0,0,0,0,"leicester-city",2017
"Leonardo Ulloa",19,4,0,4,0,0,0,0,0,"leicester-city",2017
"Harvey Barnes",8,3,0,3,0,0,0,0,0,"leicester-city",2017
"Eldin Jakupovic",180,2,2,0,0,0,0,0,0,"leicester-city",2017
"Yohan Benalouane",90,1,1,0,0,0,0,0,0,"leicester-city",2017
"Sam Hughes",0,0,0,0,0,0,0,0,0,"leicester-city",2017
"Ahmed Musa",0,0,0,0,0,0,0,0,0,"leicester-city",2017
"Layton Ndukwu",0,0,0,0,0,0,0,0,0,"leicester-city",2017
"George Thomas",0,0,0,0,0,0,0,0,0,"leicester-city",2017
"Robert Huth",0,0,0,0,0,0,0,0,0,"leicester-city",2017
"Christian Fuchs",3104,36,35,1,2,2,10,0,0,"leicester-city",2016
"Riyad Mahrez",2836,36,33,3,15,6,4,0,0,"leicester-city",2016
"Danny Simpson",2990,35,34,1,3,0,12,0,0,"leicester-city",2016
"Jamie Vardy",2809,35,33,2,8,13,2,0,1,"leicester-city",2016
"Marc Albrighton",2424,33,29,4,17,2,5,0,0,"leicester-city",2016
"Robert Huth",2929,33,33,0,3,2,9,0,0,"leicester-city",2016
"Demarai Gray",1038,30,9,21,7,1,2,0,0,"leicester-city",2016
"Shinji Okazaki",1577,30,21,9,20,3,1,0,0,"leicester-city",2016
"Kasper Schmeichel",2667,30,30,0,1,0,1,0,0,"leicester-city",2016
"Danny Drinkwater",2467,29,27,2,2,1,6,0,0,"leicester-city",2016
"Wes Morgan",2430,27,27,0,0,1,3,0,0,"leicester-city",2016
"Daniel Amartey",1666,24,17,7,0,1,3,0,0,"leicester-city",2016
"Andy King",1445,23,15,8,5,1,4,0,0,"leicester-city",2016
"Islam Slimani",1280,23,13,10,7,7,1,0,0,"leicester-city",2016
"Ahmed Musa",754,21,7,14,6,2,1,0,0,"leicester-city",2016
"Wilfred Ndidi",1522,17,17,0,1,2,0,0,0,"leicester-city",2016
"Leonardo Ulloa",435,16,3,13,1,1,0,0,0,"leicester-city",2016
"Ben Chilwell",696,12,7,5,0,1,2,0,0,"leicester-city",2016
"Yohan Benalouane",920,11,11,0,4,0,4,0,0,"leicester-city",2016
"Ron-Robert Zieler",753,9,8,1,0,0,0,0,0,"leicester-city",2016
"Luis Hernandez",326,4,3,1,0,0,1,0,0,"leicester-city",2016
"Nampalys Mendy",272,4,4,0,3,0,1,0,0,"leicester-city",2016
"Jeffrey Schlupp",139,4,1,3,1,0,0,0,0,"leicester-city",2016
"Matty James",1,1,0,1,0,0,0,0,0,"leicester-city",2016
"Marcin Wasilewski",90,1,1,0,0,0,0,0,0,"leicester-city",2016
"Ben Hamer",0,0,0,0,0,0,0,0,0,"leicester-city",2016
"Bartosz Kapustka",0,0,0,0,0,0,0,0,0,"leicester-city",2016
"Elliott Moore",0,0,0,0,0,0,0,0,0,"leicester-city",2016
"David Domej",0,0,0,0,0,0,0,0,0,"leicester-city",2016
